KPI_Name,Source,Consignee,Consignee_Name,Parent_Name,Last Estimated Ocean Arrival Date,Country_Name,Last Estimated Ocean Arrival Location,Last Actual Ocean Arrival Date,Carrier Release Date (UTC),CBL Number,Carrier SCAC,Week,OnTime/Delay_ Status,CBL_Number_Count,On-Time_Count,Delay_Count,On_Time_Percentage
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,02-03-2025,Spain,ESCAT,01-03-2025,,MAEU247865500,MAEU,202510,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,USNOKIAS11HQ,NOKIA SOLUTIONS AND NETWORKS OY,NOKIA SOLUTIONS AND NETWORKS,02-02-2025,United States,USLSA,03-02-2025,,MZLY24SZ10016444,MZLY,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,26-01-2025,Spain,ESCAT,27-01-2025,,MAEU246918184,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,31-01-2025,Netherlands,NLROT,11-01-2025,,BDPUS56220580756,SHPT,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,02-03-2025,Spain,ESCAT,01-03-2025,,MAEU247865457,MAEU,202510,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,27-01-2025,Belgium,BEANT,25-01-2025,18-01-2025,MAEU246627002,MAEU,202505,On_Time,1,1.0,,100.0
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,06-02-2025,Belgium,BEANT,08-02-2025,,HLCUBSC250164739,HLCU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,09-02-2025,France,FRLEH,10-02-2025,07-02-2025,MEDUFC177344,MSCU,202507,On_Time,1,1.0,,100.0
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,01-03-2025,Netherlands,NLROT,01-03-2025,,YMJAU587021489A,YMLU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,01-03-2025,Netherlands,NLROT,,,HLCUBSC2501AVOD0,HLCU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,06-02-2025,Belgium,BEANT,08-02-2025,,HLCUBSC250101184,HLCU,202506,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,23-01-2025,Netherlands,NLROT,30-01-2025,,CMDUNAM7336338,CMDU,202504,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,,,ADT COMMODITIES,16-02-2025,Spain,ESCAT,,,MAEU247372885,MAEU,202508,Delay,1,,1.0,
